	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
KAT6B	19.6233333333333	11.542	9.114	2.8975	4.89	7.516	12.3533333333333	8.78333333333333	6.91666666666667	2.95	4.58	5.75333333333333	5.91	7.96	7.045	3.42	3.57	3.81	6.485
KAT7	43.395	37.054	17.44	14.34875	19.095	27.218	37.83	23.7166666666667	15.38	10.6666666666667	12.76	18.2033333333333	22.09	23.28	16.95	12.69	12.405	16.275	20.505
KAT8	33.9979166666667	22.688	13.934	8.195	9.2875	13.674	17.98	18.33	12.4466666666667	5.90333333333333	6.69333333333333	13.91	18.2	18.82	15.37	7.765	6.88	9.315	14.95
KATNA1	18.11625	16.114	12.486	12.81	13.9675	15.396	17.0833333333333	13.3566666666667	9.42666666666667	10.8633333333333	9.38333333333333	13.67	13.2733333333333	11.065	9.825	12.83	10.555	11.43	12.91
KATNAL1	2.43208333333333	2.702	1.826	2.17625	2.1125	4.066	4.07	1.14666666666667	1.09	1.49333333333333	2.50666666666667	3.7	2.96333333333333	1.525	1.375	1.315	1.085	0.33	0.36
KATNAL2	1.07291666666667	0.8	0.872	0.51875	0.24	0.176	0.546666666666667	0.746666666666667	0.17	0.3	0.1	0.143333333333333	0.156666666666667	0.43	0.415	0.275	0.185	0.05	0.135
KATNB1	10.3816666666667	8.042	7.588	3.485	1.665	3.822	7.36	6.52666666666667	7.55	3.16333333333333	1.32	3.43666666666667	4.1	6.225	4.81	4.26	2.46	2.895	5.505
KATNBL1	11.0583333333333	15.036	9.016	12.53625	13.0825	15.36	12.3633333333333	15.9066666666667	12.2166666666667	10.9666666666667	16.1566666666667	16.9466666666667	12.7833333333333	15.925	16.865	15.26	15.18	13.315	14.52
KATNBL1P6	0.1175	0.322	0.286	0.235	0.185	0.25	0.406666666666667	0.0566666666666667	0	0	0	0	0	0	0	0	0	0	0
KAZALD1	0.28	0.092	0.092	0.01	0	0.102	0.26	0	0.0533333333333333	0	0	0.04	0.103333333333333	0.05	0	0.095	0	0.025	0.03
KAZN	2.90166666666667	2.398	2.202	0.8775	0.6575	0.98	0.146666666666667	1.37	1.41333333333333	0.526666666666667	0.156666666666667	0.32	0.51	1.735	1.21	0.825	0.355	0.215	0.21
KBTBD11	5.28333333333333	3.188	1.518	0.45875	0.32	0.98	3.1	3.04666666666667	2.39666666666667	0.42	0.426666666666667	0.61	1.08	2.505	1.555	0.6	0.33	0.385	1.02
KBTBD11-OT1	0.12375	0	0	0	0	0	0.0966666666666667	0	0	0.23	0	0	0	0	0	0	0	0	0
KBTBD12	0.458333333333333	0.252	0.584	0.29	0.3225	0.326	0.353333333333333	0.3	0.306666666666667	0.216666666666667	0.183333333333333	0.19	0.22	0.37	0.35	0.305	0.295	0.085	0.22
KBTBD13	0.0075	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD2	21.1720833333333	21.398	17.056	26.9175	27.21	21.988	25.3133333333333	17.8066666666667	23.5233333333333	27.7766666666667	33.13	29.6033333333333	27.0133333333333	23.98	45.665	31.7	31.095	25.65	29.615
KBTBD3	0.85375	1.01	0.266	0.05	0.125	0.428	0.863333333333333	0.386666666666667	0.17	0.0566666666666667	0	0.19	0.16	0.73	0.245	0.08	0.25	0.27	0.145
KBTBD4	12.7925	8.27	5.744	5.385	6.115	11.182	13.3833333333333	7.02666666666667	4.42333333333333	3.85	4.10333333333333	8.37333333333333	8.33666666666667	6.14	4.87	4.27	4.745	6.225	8.26
KBTBD6	2.2625	0.58	0.308	0.20375	0.47	1.206	2.63333333333333	0.556666666666667	0.356666666666667	0.276666666666667	0.313333333333333	1.25333333333333	1.75333333333333	0.585	0.26	0.455	0.575	0.775	1.405
KBTBD7	4.55541666666667	1.872	0.522	0.29875	0.44	1.944	3.93	2.76666666666667	0.983333333333333	0.25	0.25	1.17	1.40333333333333	1.91	0.765	0.59	0.345	0.845	1.83
KBTBD8	10.8520833333333	17.956	10.1	7.4725	6.865	4.72	4.87	13.68	15.3266666666667	13.1666666666667	10.1	6.97	5.77666666666667	9.955	10.465	8.155	8.58	6.105	10.055
KC6	0.0225	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCMF1	15.9075	12.31	13.756	14.1675	13.46	11.81	12.68	17.7166666666667	16.2566666666667	18.7533333333333	19.88	21.26	20.97	19.34	19.315	20.13	16.585	10.875	12.925
KCNA1	0.00208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA10	0.92	0.224	0.444	0.41375	0.13	0.374	0.0933333333333333	0	0.0566666666666667	0	0	0	0	0	0	0	0	0	0
KCNA2	0.6175	0.316	0.152	0.15375	0.0375	0.052	0	0	0	0	0	0	0	0	0	0.035	0	0	0
KCNA3	2.94958333333333	23.242	107.766	125.55625	63.1625	43.204	10.92	16.67	62.15	136.226666666667	97.4433333333333	36.9966666666667	9.77	2.345	3.71	1.525	0.995	0.805	0.925
KCNA4	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
KCNA5	0.47125	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA6	0.0479166666666667	0	0	0.025	0.0625	0	0	0	0	0	0.0266666666666667	0	0	0.025	0	0.025	0	0.01	0
KCNA7	0.547083333333333	0.284	0.718	0.56375	0.465	0.376	0.37	0.11	0.18	0.146666666666667	0.103333333333333	0.256666666666667	0.0133333333333333	0.145	0.155	0.25	0.175	0.015	0.11
KCNAB1	3.48166666666667	2.738	2.49	2.82125	1.035	1.232	3.44	0.276666666666667	0.233333333333333	0.13	0.0566666666666667	0	0.12	0.3	0.21	0.1	0.115	0.205	0.655
KCNAB1-AS1	0	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	216.282916666667	225.478	231.448	108.78875	40.4925	72.774	96.8233333333333	145.543333333333	159.653333333333	67.4566666666667	32.5666666666667	61.37	55.1766666666667	148.84	126.44	87.125	60.995	63.73	67.035
KCNAB3	0.361666666666667	0.086	0.186	0.1275	0.07	0.148	0.0366666666666667	0.04	0.0333333333333333	0.12	0.116666666666667	0.06	0	0.055	0.035	0.03	0	0	0.06
KCNB1	0	0.012	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNC1	0.0375	0.008	0	0	0.0075	0.016	0	0	0	0	0	0	0	0.055	0	0	0	0	0
KCNC2	0.00375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNC3	29.7070833333333	26.144	29.116	14.5775	5.445	13.056	17.8866666666667	16.8433333333333	19.05	8.03	4.18333333333333	6.97333333333333	13.59	15.775	12.73	11.135	7.715	5.3	6.725
KCNC4	1.46	0.892	1.5	1.12375	0.7275	0.4	0.323333333333333	0.696666666666667	0.926666666666667	0.546666666666667	0.586666666666667	0.513333333333333	0.816666666666667	1.02	0.59	0.89	0.695	0.56	0.725
KCNC4-AS1	0.102916666666667	0.128	0.186	0.025	0	0	0	0	0.423333333333333	0	0	0	0.0566666666666667	0.085	0	0.145	0.08	0.06	0.185
KCND1	0.846666666666667	0.45	0.572	0.18125	0.1225	0.116	0.223333333333333	0.173333333333333	0.156666666666667	0.0766666666666667	0.0333333333333333	0.323333333333333	0.113333333333333	0.135	0.2	0.185	0.055	0.085	0.06
KCND2	0.00875	0	0	0	0	0	0.0133333333333333	0	0	0	0	0	0	0.015	0	0	0	0	0
KCND3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCND3-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	27.1729166666667	25.456	26.584	28.34125	38.26	79.744	96.2266666666667	20.2366666666667	18.95	15.2733333333333	20.48	29.9333333333333	33.9833333333333	21.68	19.4	17.78	22.12	38.12	61.565
KCNE1L	1.22333333333333	0.042	0.3	0.41	0.1125	0.476	0.373333333333333	0.07	0	0.04	0.256666666666667	0.24	0.963333333333333	0	0.125	0.055	0.12	0.09	0.19
KCNE2	0.0216666666666667	0.088	0	0.18	0	0.318	0	0	0	0	0	0	0.306666666666667	0.12	0	0	0	0	0
KCNE3	31.8283333333333	11.158	5.836	2.0025	1.4525	2.668	4.43	21.13	7.60666666666667	3.14333333333333	2.00666666666667	3.56333333333333	5.51333333333333	19.4	9.05	7.355	7.89	8.95	11.94
KCNE4	0.169166666666667	0.072	0.182	0.1425	0.1725	0.154	0.25	0.123333333333333	0.0833333333333333	0.136666666666667	0.2	0.416666666666667	0.113333333333333	0.21	0.275	0.115	0.26	0.175	0.12
KCNF1	0.0516666666666667	0.04	0	0.0475	0.0225	0	0	0	0	0	0	0	0	0.055	0	0	0	0	0
KCNG1	2.17291666666667	0.21	0.278	0.105	0	0.03	0.04	0.126666666666667	0.386666666666667	0.0833333333333333	0.02	0	0.0733333333333333	0.115	0.275	0.075	0.08	0.06	0.065
KCNG2	0.149583333333333	0	0.502	0.13875	0.0425	0.076	0.13	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0
KCNG3	0.01	0	0.014	0.0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH1	0.0341666666666667	0.014	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH2	3.42375	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0.035	0.025	0
KCNH3	0.9075	0.158	0.382	0.0725	0.1025	0.064	0.0833333333333333	0	0.02	0.0766666666666667	0.0633333333333333	0	0	0.065	0	0.04	0.09	0	0
KCNH4	0.24125	0.128	0.244	0.13125	0.165	0.064	0.0266666666666667	0.42	0.29	0.15	0.0633333333333333	0.0266666666666667	0.126666666666667	0.235	0.11	0.1	0.07	0.52	0.355
KCNH5	0.0120833333333333	0	0	0.01125	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH6	0.06125	0.066	0.116	0.04625	0	0.032	0.0666666666666667	0.0766666666666667	0.07	0.05	0.1	0.143333333333333	0.413333333333333	0.225	0.125	0.15	0.05	0	0.075
KCNH7	0.0733333333333333	0.032	0.04	0.04875	0.0275	0.078	0.07	0	0	0	0	0	0	0	0	0	0	0	0
KCNH8	0.0075	0	0.048	0.06375	0.01	0.026	0.0133333333333333	0	0	0.0466666666666667	0.133333333333333	0	0	0	0	0	0	0	0
KCNIP1	0.045	0	0	0	0.0425	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0
KCNIP2	1.17125	0.36	0.492	0.965	0.52	0.33	0.38	0.23	0.31	0.176666666666667	0.33	0.366666666666667	0.133333333333333	0.46	0.45	0.515	0.33	0.365	0.355
KCNIP2-AS1	0.18625	0	0	0.075	0	0.056	0.12	0	0.113333333333333	0	0	0	0	0	0	0	0	0	0.07
KCNIP3	0.129166666666667	0.068	0.018	0.0325	0	0.04	0	0.02	0.136666666666667	0	0	0	0	0.035	0	0.025	0	0	0
KCNIP4	0.366666666666667	0.466	0.046	0.22625	0.0975	0.078	0.543333333333333	0	0	0	0	0	0	0.045	0	0	0	0	0
KCNIP4-IT1	0.00208333333333333	0	0	0.00625	0	0	0	0	0	0	0	0	0	0.03	0	0	0.005	0	0
KCNJ1	1.93458333333333	2.004	1.996	1.375	0.5825	0.534	0.383333333333333	0.483333333333333	1.16	0.736666666666667	0.493333333333333	0.38	0.32	0.89	0.68	0.96	1.99	2.375	1.915
KCNJ10	0.0779166666666667	0	0	0	0	0.01	0	0	0.0133333333333333	0	0	0	0.0166666666666667	0.045	0	0	0	0.025	0.015
KCNJ11	0.52375	0.306	0.792	0.43625	0.3625	0.356	0.37	0.08	0.0966666666666667	0.246666666666667	0.19	0.2	0.05	0.14	0.05	0.21	0.215	0.1	0.045
KCNJ12	0.0475	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.015	0	0	0	0
KCNJ13	1.27333333333333	0.3	0.484	0.94125	0.5775	0.732	0.403333333333333	0	0	0	0	0	0	0	0	0.045	0	0	0
KCNJ14	0.124583333333333	0.116	0.088	0.06125	0.02	0.014	0.0966666666666667	0.103333333333333	0.0833333333333333	0.02	0.103333333333333	0	0.163333333333333	0.045	0	0	0	0.025	0.025
KCNJ15	0.72375	0.048	0.016	0.015	0.1025	0.084	0.21	0	0	0	0	0.05	0.49	0.06	0	0.025	0	0	0
KCNJ16	0.01125	0	0	0.01875	0.0125	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0
KCNJ18	0.0233333333333333	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ2	1.86083333333333	13.762	8.906	8.25	15.8225	14.834	9.03666666666667	11.3266666666667	13.16	37.3433333333333	16.04	5.50333333333333	2.46333333333333	2.285	0.68	0.61	0.69	2.03	4.185
KCNJ2-AS1	0.33	0.956	0.688	0.38625	0.4325	0.412	0.346666666666667	0.693333333333333	1.11666666666667	0.93	1.19666666666667	0.16	0.133333333333333	0.175	0.165	0.29	0.075	0.025	0.33
KCNJ3	0.104583333333333	0.084	0.224	0.1125	0.0875	0.074	0.03	0.01	0.0166666666666667	0.03	0.01	0	0.03	0.065	0.035	0.105	0.02	0.015	0.09
KCNJ4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0
KCNJ5	7.92875	4.81	6.366	2.51	2.2325	1.496	1.9	13.7966666666667	10.1033333333333	4.16666666666667	3.85333333333333	2.92666666666667	2.99333333333333	12.125	9.325	12.265	15.62	14.59	10.135
KCNJ6	0	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ8	0.00541666666666667	0	0.034	0	0.0225	0	0.03	0	0	0	0	0	0	0.04	0	0	0	0	0
KCNJ9	0.06625	0.106	0.33	0.01375	0.0175	0.072	0.03	0	0	0	0	0	0	0	0	0	0	0	0
KCNK1	0.629583333333333	0.55	0.5	0.435	0.76	3.754	12.2666666666667	1.75	1.29333333333333	0.333333333333333	1.74	9.53	17.0466666666667	1.2	1.345	0.87	0.405	1.53	3.655
KCNK10	0.0304166666666667	0	0	0	0	0.006	0.01	0	0.01	0	0	0.01	0	0	0	0	0	0	0
KCNK12	0.1925	0.138	0.024	0.03125	0	0.184	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK13	19.40625	31.492	15.608	16.71375	16.5875	22.572	20.21	14.6166666666667	11.9633333333333	6.76666666666667	9.99333333333333	19.2	13.3233333333333	15.04	13.41	13.29	9.275	3.79	4.185
KCNK15	0	0.054	0	0.345	1.19	0.626	0.666666666666667	0	0.0633333333333333	0	1.08333333333333	1.58333333333333	0.82	0.035	0	0.06	0.035	0.03	0
KCNK16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK17	0.4475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK2	0.03125	0	0.07	0.02625	0.0675	0.174	0.186666666666667	0.153333333333333	0.356666666666667	0.0866666666666667	0.0266666666666667	0.236666666666667	0.0933333333333333	0.235	0.305	0.32	0.13	0.13	0.145
KCNK3	0.00416666666666667	0	0	0.00625	0	0	0.04	0	0	0	0.01	0	0	0.11	0.02	0	0.02	0	0
KCNK4	0.00875	0	0.03	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0
KCNK5	1.77416666666667	0.276	1.264	0.56125	0.1375	0.144	0.26	0.12	0.383333333333333	0.736666666666667	0.246666666666667	0	0.0333333333333333	0.185	0.135	0.02	0	0.09	0.04
KCNK6	32.3791666666667	39.05	25.752	10.99375	11.81	24.314	25.4666666666667	22.2366666666667	21.0833333333333	5.97333333333333	4.25	15.63	11.67	22.71	16.9	13.01	10.06	13.845	14.63
KCNK7	1.69625	0.918	1.536	0.9775	0.3325	0.154	0.503333333333333	0.0466666666666667	0.35	0.05	0.0966666666666667	0	0.0633333333333333	0.05	0.47	0.125	0	0.1	0.25
KCNK9	0.09875	0	0.058	0	0.0225	0	0.0866666666666667	0	0	0	0	0	0	0.07	0	0.03	0	0	0
KCNMA1	10.5995833333333	16.856	14.016	10.2	8.35	1.848	2.83333333333333	15.83	16.7066666666667	13.0433333333333	10.7266666666667	4.59	12.59	21.105	20.185	19.115	21.37	34.52	42.87
KCNMA1-AS1	0.0254166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNMA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNMA1-AS3	0.0429166666666667	0.076	0	0.03625	0.0475	0.062	0	0.21	0.146666666666667	0	0	0	0	0.295	0.655	0.605	0.14	0.245	0.07
KCNMB1	5.09791666666667	3.094	6.82	3.55375	4.0375	1.506	0.993333333333333	1.74	2.45666666666667	1.92666666666667	1.69	1.17333333333333	0.973333333333333	0.815	1.095	1.32	1.81	4.38	4.265
KCNMB2	0.05	0.076	0	0	0	0.038	0	0	0	0	0	0	0	0.035	0	0	0	0	0
KCNMB2-AS1	0.01875	0	0	0.0425	0	0.042	0	0	0	0	0	0	0	0.035	0	0.045	0	0.04	0
KCNMB3	1.7175	1.506	0.506	0.83375	0.4175	0.948	1.40666666666667	0.0433333333333333	0.0466666666666667	0.1	0.0866666666666667	0.433333333333333	0.306666666666667	0.15	0.095	0.375	0.07	0.205	0.44
KCNMB4	0.220416666666667	0.05	0.276	0.045	0.1525	0.084	0.0766666666666667	0.153333333333333	0.0933333333333333	0.146666666666667	0.0533333333333333	0.0933333333333333	0.196666666666667	0.24	0.22	0.1	0.13	0.085	0.045
KCNN1	0.184583333333333	0.08	0.134	0.165	0.2825	0.414	1.92333333333333	0	0	0	0.0466666666666667	0.116666666666667	0.0466666666666667	0	0.095	0	0	0	0
KCNN2	0.67125	0.392	0.502	0.875	0.5425	0.412	0.563333333333333	0.126666666666667	0.33	0.0133333333333333	0.03	0.373333333333333	0.37	0.285	0.74	0.595	0.395	0.5	0.12
KCNN3	0.14	0.07	0.106	0.13875	0.045	0.048	0.13	0.0433333333333333	0.02	0.0433333333333333	0.09	0.0466666666666667	0.0333333333333333	0.045	0.07	0.095	0.055	0.045	0.03
KCNN4	29.56875	36.698	83.448	159.6225	163.7975	70.642	46.9333333333333	15.0466666666667	30.11	151.206666666667	147.97	125.433333333333	97.03	12.1	11.21	14.17	16.39	11.365	5.1
KCNQ1	31.5266666666667	34.168	26.036	19.9475	28.7175	14.306	15.9333333333333	31.1666666666667	30.47	26.1133333333333	23.37	16.8433333333333	7.36	20.075	18.19	15.03	17.435	18.695	15.665
KCNQ1DN	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0
KCNQ1OT1	9.80125	4.978	9.882	9.3525	6.1825	6	5.90333333333333	1.6	1.74666666666667	1.92	1.57	2.27	1.49333333333333	3.71	3.16	2.61	3.155	1.735	1.6
KCNQ2	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ3	0.01375	0.018	0.03	0.0925	0.125	0.076	0.0233333333333333	0.00666666666666667	0	0	0	0.01	0	0.005	0	0	0	0	0.015
KCNQ4	0.234583333333333	0.184	0.106	0.1675	0.0125	0.04	0.0466666666666667	0.103333333333333	0.14	0.14	0.0466666666666667	0	0.0733333333333333	0.065	0.085	0	0	0	0
KCNQ5	1.83375	0.124	0.134	0.18875	0.135	0.058	0.123333333333333	0.03	0.0466666666666667	0.03	0	0	0.0133333333333333	0.065	0.025	0.075	0.015	0.15	0.16
KCNQ5-AS1	0.09625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ5-IT1	0.03	0	0	0	0	0	0	0	0	0	0.306666666666667	0	0	0	0	0	0	0	0
KCNRG	2.87833333333333	0.878	1.596	1.76875	1.9125	1.806	2.13333333333333	0.126666666666667	0.31	0.203333333333333	0.306666666666667	0.656666666666667	0.306666666666667	0.495	0.25	0.54	0.565	0.06	0.285
KCNS1	0.2325	0.174	0.154	0.25	0.215	0.272	0.31	0.01	0.0366666666666667	0	0	0	0.0133333333333333	0	0.04	0	0	0	0
KCNS2	0.0158333333333333	0.052	0.026	0.0825	0.05	0.068	0.05	0	0	0	0	0	0	0	0	0	0	0	0
KCNS3	0.0320833333333333	0	0.05	0.51875	0.695	0.268	0.0633333333333333	0.0233333333333333	0	0.05	0	0.0866666666666667	0.11	0.175	0	0.425	0.565	0.5	0.475
KCNT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNT2	0.03125	0	0	0.0175	0	0.016	0	0	0	0.03	0	0	0	0	0	0	0	0	0
KCNU1	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNV2	0.1175	0.04	0.024	0.12625	0	0.024	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0
KCP	0.806666666666667	0.404	1.826	2.09125	0.78	0.898	1.22333333333333	0.883333333333333	0.68	2.80666666666667	3.01333333333333	3.09333333333333	2.02	0.74	0.565	0.97	2.13	3.105	5.65
KCTD1	2.51625	2.066	0.482	0.4175	0.2325	2.422	3.9	0.956666666666667	0.41	0.16	0.35	0.36	0.866666666666667	0.83	0.515	0.275	0.055	0.59	1.71
KCTD10	30.5170833333333	34.612	41.182	39.2225	37.0225	25.952	25.3533333333333	31.75	31.5166666666667	40.8666666666667	28.7466666666667	24.3233333333333	17.5	27.325	26.585	30.41	20.015	12.605	14.775
KCTD11	4.23916666666667	3.356	2.59	2.48	3.9425	3.542	2.92333333333333	2.81333333333333	2.61666666666667	1.76333333333333	1.46333333333333	2.94666666666667	2.41666666666667	2.805	1.81	2.255	2.59	3.555	3.845
KCTD12	212.046666666667	215.384	198.274	111.56875	107.105	82.764	68.8766666666667	263.686666666667	219.336666666667	74.8266666666667	55.58	149.6	180.69	258.34	238.245	160.83	113.19	165.405	193.025
KCTD13	12.9779166666667	12.132	14.806	5.91375	4.53	12.604	17.5266666666667	8.83333333333333	8.21666666666667	4.55666666666667	4.85666666666667	10.4466666666667	9.96333333333333	7.815	5.8	2.605	3.71	6.89	7.735
KCTD14	0.0533333333333333	0.218	0.08	0.41875	1.035	0.27	0.106666666666667	0	0	0	0	0	0	0	0	0.64	0.66	0.19	0.485
KCTD15	5.63125	3.748	3.142	1.0225	0.4525	0.286	0.436666666666667	1.91	1.85666666666667	0.683333333333333	0.463333333333333	0.17	0.163333333333333	2.295	1.505	0.66	0.415	0.405	0.765
KCTD16	0.0220833333333333	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.065
KCTD17	20.4283333333333	25.022	23.07	13.62625	11.255	18.076	26.7133333333333	12.3866666666667	13.3833333333333	6.84	3.68	8.06	11.9333333333333	12.265	11.66	10.02	7.855	6.01	7.745
KCTD18	15.59875	13.776	7.774	7.59875	11.38	13.744	15.4633333333333	15.4733333333333	8.49333333333333	6.52666666666667	8.64666666666667	11.09	11.6966666666667	15.84	13.295	9.955	10.465	9.94	10.725
KCTD19	0.0483333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCTD2	17.6858333333333	14.536	9.118	7.775	11.1575	15.248	20.8566666666667	9.78333333333333	6.91	6.08333333333333	6.56	11.3266666666667	8.08	11.045	8.87	6.375	5.885	6.93	11.84
KCTD20	55.7779166666667	56.202	52.502	49.93	43.8475	45.29	54.3066666666667	39.41	38.24	35.57	30.18	32.87	27.6833333333333	38.905	33.705	26.97	22.615	19.725	23.015
KCTD21	7.72041666666667	4.37	4.136	6.77375	7.49	7.428	9.15	4.70666666666667	2.30333333333333	4.58	4.61666666666667	6	6	5.84	4.02	5.585	4.79	5.83	7.31
KCTD21-AS1	1.80125	1.498	0.8	1.51375	1.75	1.278	2.14666666666667	0.9	0.506666666666667	0.313333333333333	0	0.356666666666667	0.24	0.585	0.5	0	0	0.065	0.145
KCTD3	11.3491666666667	10.036	7.85	5.415	6.4525	11.91	17.9033333333333	10.09	10.1233333333333	4.45	5.06666666666667	5.13	6.74666666666667	11.475	10.875	8.135	7.685	5.49	7.13
KCTD4	0.4675	0.04	0.072	0.13375	0.1425	0.114	0.15	0	0	0	0	0	0	0	0	0	0	0	0
KCTD5	35.1508333333333	33.968	22.102	17.04	20.96	20.192	21.08	37.26	28.69	20.5833333333333	14.0033333333333	19.7066666666667	19.23	34.165	27.25	36.255	31.47	34.23	37.56
KCTD6	22.26875	12.85	2.856	4.475	7.62	13.042	12.7166666666667	7.6	1.69666666666667	2.26333333333333	4.4	7.65333333333333	6.71666666666667	4.87	3.54	4.175	5.34	7.84	7.285
KCTD7	8.35833333333333	7.182	7.246	4.13875	3.5725	4	7.12666666666667	4.17	4.22666666666667	5.80333333333333	3.4	6.33	6.23333333333333	3.465	3.5	3.48	3.455	3.53	2.975
KCTD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCTD9	15.4320833333333	13.286	14.622	15.5675	19.3725	23.972	20.0166666666667	13.22	13.1033333333333	18.6766666666667	23.3433333333333	28.8	21.9833333333333	11.56	12.47	13.07	15.585	13.845	16.2
KDELC1	1.77708333333333	0.076	0.056	0.0925	0.05	0.138	0.266666666666667	0.22	0.163333333333333	0.06	0	0.143333333333333	0	0.225	0.355	0.07	0.2	0.03	0.11
KDELC2	6.01541666666667	4.662	4.33	5.73125	10.135	8.108	4.01333333333333	3.92666666666667	3.02	2.43	1.81666666666667	2.66666666666667	3.19	3.985	4.555	7	11.93	16.355	15.75
KDELR1	188.359583333333	154.722	148.666	133.775	137.59	156.586	178.966666666667	163.396666666667	150.723333333333	101.983333333333	98.81	146.726666666667	177.676666666667	169.18	149.525	157.88	165.765	159.72	193.11
KDELR2	72.26	71.758	70.374	93.48	78.2375	86.73	74.1766666666667	80.8966666666667	73.98	97.6733333333333	107.463333333333	99.5666666666667	95.0366666666667	81.41	79.395	75.295	72.99	64.195	79.78
KDELR3	1.46166666666667	0.47	0.536	1.04	0.44	0.456	0.843333333333333	0	0	0	0	0	0.0733333333333333	0	0	0	0	0	0
KDF1	0	0	0	0	0	0.028	0.04	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0
KDM1A	28.3379166666667	26.352	24.018	22.5575	15.4825	19.936	29.2333333333333	20.2266666666667	17.6633333333333	15.17	14.35	13.9766666666667	13.93	17.175	15.79	10.305	11.935	10.715	15.845
KDM1B	27.5191666666667	17.46	18.754	13.7425	21.2975	21.494	23.58	20.6833333333333	18.1	10.6566666666667	7.79333333333333	11.4033333333333	16.13	19.405	16.75	21.54	29.23	29.54	21.4
KDM2A	51.1783333333333	41.806	36.768	34.395	52.035	56.092	77.87	25.56	23.21	18.23	19.2866666666667	42.6533333333333	29.8266666666667	22.675	20.745	26.075	28.63	31.095	34.845
KDM2B	33.0470833333333	25.906	20.434	16.85875	14.1825	33.44	42.9166666666667	15.85	10.82	8.44333333333333	5.32	14.1266666666667	11.53	14.715	10.405	19.56	20.175	22.795	18.99
KDM3A	43.6870833333333	31.604	10.924	14.1775	18.4975	19.796	21.4233333333333	22.33	12.5833333333333	10.7266666666667	13.2166666666667	29.6233333333333	20.9066666666667	21.605	15.45	12.98	14.365	17.66	24.78
